experiment,system,plant_no,target_total_weight_g,harvest_plant_height_cm,harvest_shoot_weight_g,harvest_root_weight_g,harvest_root_length_cm,harvest_no_of_leaves,head_diameter_average_cm,canopy_area_cm2,replicate,water_ph_mean,water_ph_min,water_ph_max,water_ph_std,water_ec_mean,water_ec_min,water_ec_max,water_ec_std,water_tds_mean,water_tds_min,water_tds_max,water_tds_std,water_water_temperature_mean,water_water_temperature_min,water_water_temperature_max,water_water_temperature_std,total_nutrient_solution_added_ml,total_water_consumption_l,total_acid_consumption_ml,env_air_temperature_mean,env_air_temperature_min,env_air_temperature_max,env_air_temperature_std,env_humidity_mean,env_humidity_min,env_humidity_max,env_humidity_std,env_co2_mean,env_co2_min,env_co2_max,env_co2_std,initial_height_mean_cm,initial_weight_mean_g,initial_root_length_mean_cm
Experiment 1,R1-T1,1,243.0,42.0,208.0,33.0,28.5,30.0,25.5,648.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,2,241.0,54.0,189.0,41.0,43.5,34.0,27.0,729.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,3,251.0,62.0,208.0,39.0,48.5,34.0,26.25,689.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,4,200.0,55.0,183.0,15.0,41.5,26.0,26.0,676.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,5,200.0,66.0,174.0,22.0,52.0,25.0,27.5,754.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,6,209.0,60.0,171.0,33.0,47.0,27.0,23.25,540.5,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,7,252.0,67.0,205.0,41.0,51.0,25.0,26.0,675.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,8,229.0,67.0,188.0,36.0,53.5,23.0,26.0,675.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,9,232.0,58.0,190.0,37.0,44.5,24.0,25.0,625.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T1,10,195.0,48.0,165.0,23.0,36.0,30.0,23.5,552.0,R1,6.060526315789474,5.2,6.9,0.45453242237676483,1.816315789473684,1.23,2.02,0.148207199424383,0.8002439024390244,0.0,1.01,0.3062976219211097,24.45,19.3,28.7,2.1956595939788977,314.0,70.0,78.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
