experiment,replicate,day,plant_no,head_diameter
Experiment 1,Replicate 1,day 3,1.0,4*4
Experiment 1,Replicate 1,day 6,1.0,5*5
Experiment 1,Replicate 1,Day 9,1.0,9*12
Experiment 1,Replicate 1,Day 12,1.0,11*12
Experiment 1,Replicate 1,Day 13,1.0,16*17
Experiment 1,Replicate 1,day 3,2.0,5*4
Experiment 1,Replicate 1,day 6,2.0,5*4
Experiment 1,Replicate 1,Day 9,2.0,12*10
Experiment 1,Replicate 1,Day 12,2.0,13*12.5
Experiment 1,Replicate 1,Day 13,2.0,15*16
Experiment 1,Replicate 1,day 3,3.0,3*3.5
Experiment 1,Replicate 1,day 6,3.0,4*4
Experiment 1,Replicate 1,Day 9,3.0,8.5*8.5
Experiment 1,Replicate 1,Day 12,3.0,11*11.5
Experiment 1,Replicate 1,Day 13,3.0,14*15
Experiment 1,Replicate 1,day 3,4.0,5*3.5
Experiment 1,Replicate 1,day 6,4.0,5*5
Experiment 1,Replicate 1,Day 9,4.0,12*10
Experiment 1,Replicate 1,Day 12,4.0,13*13
Experiment 1,Replicate 1,Day 13,4.0,15*20
Experiment 1,Replicate 1,day 3,5.0,4*3.5
Experiment 1,Replicate 1,day 6,5.0,5*5
Experiment 1,Replicate 1,Day 9,5.0,9.5*10.5
Experiment 1,Replicate 1,Day 12,5.0,13*12
Experiment 1,Replicate 1,Day 13,5.0,17*16
Experiment 1,Replicate 1,day 3,6.0,3.5*3.5
Experiment 1,Replicate 1,day 6,,
Experiment 1,Replicate 1,Day 9,,
Experiment 1,Replicate 1,Day 12,,
Experiment 1,Replicate 1,Day 13,,
Experiment 1,Replicate 1,day 3,7.0,4*4
Experiment 1,Replicate 1,day 3,8.0,3.5*3
Experiment 1,Replicate 1,day 3,9.0,4*4
Experiment 1,Replicate 1,day 3,10.0,2*2.5
Experiment 1,Replicate 2,day 3,1.0,4*3.5
Experiment 1,Replicate 2,day 6,1.0,5*4.5
Experiment 1,Replicate 2,Day 9,1.0,10*12
Experiment 1,Replicate 2,Day 12,1.0,11*14
Experiment 1,Replicate 2,Day 13,1.0,16*15
Experiment 1,Replicate 2,day 3,2.0,4*3
Experiment 1,Replicate 2,day 6,2.0,4.5*3.5
Experiment 1,Replicate 2,Day 9,2.0,11*9
Experiment 1,Replicate 2,Day 12,2.0,13*13
Experiment 1,Replicate 2,Day 13,2.0,17*16
Experiment 1,Replicate 2,day 3,3.0,4*3.5
Experiment 1,Replicate 2,day 6,3.0,4*3.5
Experiment 1,Replicate 2,Day 9,3.0,7*8
Experiment 1,Replicate 2,Day 12,3.0,9*8.5
Experiment 1,Replicate 2,Day 13,3.0,13*11
Experiment 1,Replicate 2,day 3,4.0,4*4
Experiment 1,Replicate 2,day 6,4.0,5.5*4
Experiment 1,Replicate 2,Day 9,4.0,9*11
Experiment 1,Replicate 2,Day 12,4.0,12*9
Experiment 1,Replicate 2,Day 13,4.0,16*16
Experiment 1,Replicate 2,day 3,5.0,5*3
Experiment 1,Replicate 2,day 6,5.0,5*4
Experiment 1,Replicate 2,Day 9,5.0,7*10
Experiment 1,Replicate 2,Day 12,5.0,10*11
Experiment 1,Replicate 2,Day 13,5.0,15*17
Experiment 1,Replicate 2,day 3,6.0,4*4
Experiment 1,Replicate 2,day 6,,
Experiment 1,Replicate 2,Day 9,,
Experiment 1,Replicate 2,Day 12,,
Experiment 1,Replicate 2,Day 13,,
Experiment 1,Replicate 2,day 3,7.0,3*3.5
Experiment 1,Replicate 2,day 3,8.0,3*3
Experiment 1,Replicate 2,day 3,9.0,3*3.5
Experiment 1,Replicate 2,day 3,10.0,3*3
Experiment 1,Replicate 3,day 3,1.0,4*3.5
Experiment 1,Replicate 3,day 6,1.0,5*5
Experiment 1,Replicate 3,Day 9,1.0,12*9
Experiment 1,Replicate 3,Day 12,1.0,11*12
Experiment 1,Replicate 3,Day 13,1.0,15*17
Experiment 1,Replicate 3,day 3,2.0,2*2
Experiment 1,Replicate 3,day 6,2.0,3*3
Experiment 1,Replicate 3,Day 9,2.0,6*8
Experiment 1,Replicate 3,Day 12,2.0,9*10
Experiment 1,Replicate 3,Day 13,2.0,2024-12-15 00:00:00
Experiment 1,Replicate 3,day 3,3.0,3.5*3
Experiment 1,Replicate 3,day 6,3.0,4*3.5
Experiment 1,Replicate 3,Day 9,3.0,10*10
Experiment 1,Replicate 3,Day 12,3.0,12*8
Experiment 1,Replicate 3,Day 13,3.0,14*16
Experiment 1,Replicate 3,day 3,4.0,3*3
Experiment 1,Replicate 3,day 6,4.0,3*4
Experiment 1,Replicate 3,Day 9,4.0,8*8
Experiment 1,Replicate 3,Day 12,4.0,8*10
Experiment 1,Replicate 3,Day 13,4.0,13*16
Experiment 1,Replicate 3,day 3,5.0,4*4
Experiment 1,Replicate 3,day 6,5.0,5*4
Experiment 1,Replicate 3,Day 9,5.0,9*12
Experiment 1,Replicate 3,Day 12,5.0,12*13
Experiment 1,Replicate 3,Day 13,5.0,16*16
Experiment 1,Replicate 3,day 3,6.0,4*4
Experiment 1,Replicate 3,day 6,,
Experiment 1,Replicate 3,Day 9,,
Experiment 1,Replicate 3,Day 12,,
Experiment 1,Replicate 3,Day 13,,
Experiment 1,Replicate 3,day 3,7.0,4*3.5
Experiment 1,Replicate 3,day 3,8.0,2*3
Experiment 1,Replicate 3,day 3,9.0,3.5*3
Experiment 1,Replicate 3,day 3,10.0,3.5*3
Experiment 1,Replicate 4,day 3,1.0,5*4
Experiment 1,Replicate 4,day 6,1.0,5*6
Experiment 1,Replicate 4,Day 9,1.0,13*11
Experiment 1,Replicate 4,Day 12,1.0,14*13
Experiment 1,Replicate 4,Day 13,1.0,17*21
Experiment 1,Replicate 4,day 3,2.0,4*3.5
Experiment 1,Replicate 4,day 6,2.0,5*5
Experiment 1,Replicate 4,Day 9,2.0,11*12.5
Experiment 1,Replicate 4,Day 12,2.0,12*15
Experiment 1,Replicate 4,Day 13,2.0,16*17
Experiment 1,Replicate 4,day 3,3.0,4*3
Experiment 1,Replicate 4,day 6,3.0,4*4
Experiment 1,Replicate 4,Day 9,3.0,9*8
Experiment 1,Replicate 4,Day 12,3.0,11*11
Experiment 1,Replicate 4,Day 13,3.0,14*15
Experiment 1,Replicate 4,day 3,4.0,4*3
Experiment 1,Replicate 4,day 6,4.0,5*4
Experiment 1,Replicate 4,Day 9,4.0,12*11
Experiment 1,Replicate 4,Day 12,4.0,13*13
Experiment 1,Replicate 4,Day 13,4.0,16*19
Experiment 1,Replicate 4,day 3,5.0,4*3
Experiment 1,Replicate 4,day 6,5.0,5*4
Experiment 1,Replicate 4,Day 9,5.0,12*12
Experiment 1,Replicate 4,Day 12,5.0,13*14
Experiment 1,Replicate 4,Day 13,5.0,15*16
Experiment 1,Replicate 4,day 3,6.0,4*3.5
Experiment 1,Replicate 4,day 6,,
Experiment 1,Replicate 4,Day 9,,
Experiment 1,Replicate 4,Day 12,,
Experiment 1,Replicate 4,Day 13,,
Experiment 1,Replicate 4,day 3,7.0,5*4
Experiment 1,Replicate 4,day 3,8.0,5*4
Experiment 1,Replicate 4,day 3,9.0,4*3
Experiment 1,Replicate 4,day 3,10.0,4*4
Experiment 1,Replicate 5,day 3,1.0,4.5*4
Experiment 1,Replicate 5,day 6,1.0,4.5*5
Experiment 1,Replicate 5,Day 9,1.0,13*11
Experiment 1,Replicate 5,Day 12,1.0,13*11
Experiment 1,Replicate 5,Day 13,1.0,16*18
Experiment 1,Replicate 5,day 3,2.0,4*3.5
Experiment 1,Replicate 5,day 6,2.0,3*4.5
Experiment 1,Replicate 5,Day 9,2.0,9*9.5
Experiment 1,Replicate 5,Day 12,2.0,10*10
Experiment 1,Replicate 5,Day 13,2.0,18*19
Experiment 1,Replicate 5,day 3,3.0,4*3
Experiment 1,Replicate 5,day 6,3.0,4*5.5
Experiment 1,Replicate 5,Day 9,3.0,8*11
Experiment 1,Replicate 5,Day 12,3.0,11*12
Experiment 1,Replicate 5,Day 13,3.0,15*15
Experiment 1,Replicate 5,day 3,4.0,4*3
Experiment 1,Replicate 5,day 6,4.0,3.5*4
Experiment 1,Replicate 5,Day 9,4.0,8*9
Experiment 1,Replicate 5,Day 12,4.0,11*11
Experiment 1,Replicate 5,Day 13,4.0,15*16
Experiment 1,Replicate 5,day 3,5.0,4*3.5
Experiment 1,Replicate 5,day 6,5.0,4*5
Experiment 1,Replicate 5,Day 9,5.0,12*12
Experiment 1,Replicate 5,Day 12,5.0,12*13
Experiment 1,Replicate 5,Day 13,5.0,15*20
Experiment 1,Replicate 5,day 3,6.0,5*5.5
Experiment 1,Replicate 5,day 6,,
Experiment 1,Replicate 5,Day 9,,
Experiment 1,Replicate 5,Day 12,,
Experiment 1,Replicate 5,Day 13,,
Experiment 1,Replicate 5,day 3,7.0,4*3
Experiment 1,Replicate 5,day 3,8.0,4*5
Experiment 1,Replicate 5,day 3,9.0,2*2
Experiment 1,Replicate 5,day 3,10.0,4*4
Experiment 1,Replicate 6,day 3,1.0,3*3.5
Experiment 1,Replicate 6,day 6,1.0,3*3.5
Experiment 1,Replicate 6,Day 9,1.0,11*9
Experiment 1,Replicate 6,Day 12,1.0,11*9.5
Experiment 1,Replicate 6,Day 13,1.0,15*16
Experiment 1,Replicate 6,day 3,2.0,5*4
Experiment 1,Replicate 6,day 6,2.0,5*5
Experiment 1,Replicate 6,Day 9,2.0,12*12
Experiment 1,Replicate 6,Day 12,2.0,12*12
