experiment,date,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,total_weight_g,shoot_weight_g,root_weight_g,no_of_leaves
Experiment 1,2024-03-09,1,9.0,2.0,7.0,4*2,0.1,1.3,0.5,0.8,5
Experiment 1,,2,10.0,3.0,7.0,3.5*3,0.1,1.2,0.55,0.6499999999999999,5
Experiment 1,,3,10.0,3.0,7.0,3.5*2.5,0.1,1.1,0.53,0.5700000000000001,5
Experiment 1,,4,9.0,2.5,6.5,3*3,0.1,1.14,0.45,0.69,4
Experiment 1,,5,10.0,3.0,7.0,3.5*2.5,0.1,1.0,0.4,0.6,5
Experiment 1,,6,10.0,3.0,7.0,3.5*3,0.1,1.1,0.44,0.6600000000000001,5
Experiment 1,,7,9.0,2.0,7.0,2*3.5,0.1,1.0,0.4,0.6,5
Experiment 1,,8,9.0,2.0,7.0,4*3.5,0.1,1.5,0.6,0.9,5
Experiment 1,,9,9.5,3.0,6.5,3.5*2,0.1,1.4,0.54,0.8599999999999999,4
Experiment 1,,10,12.0,3.0,9.0,4*2,0.1,1.5,0.57,0.93,4
