experiment,system,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,hd_cm,total_weight_g,stem_diameter_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leaves_g,root_weight_g,noof_leaves
Experiment 3,R1T1,1.0,60.0,20.0,40.0,30*31,328.0,1.0,271.0,269.0,57.0,42.0
Experiment 3,R1T1,2.0,60.0,19.0,41.0,29*31,252.0,1.5,244.0,243.0,8.0,46.0
Experiment 3,R1T1,3.0,75.0,17.0,58.0,28*30,294.0,1.0,239.0,237.0,55.0,43.0
Experiment 3,R1T1,4.0,100.0,17.0,83.0,29*29,331.0,1.5,295.0,292.0,36.0,40.0
Experiment 3,R1T1,5.0,72.0,15.0,57.0,30*31,357.0,1.0,317.0,317.0,40.0,46.0
Experiment 3,R1T1,6.0,76.0,16.0,60.0,30*29,343.0,1.2,305.0,304.0,38.0,36.0
Experiment 3,R1T1,7.0,80.0,17.0,63.0,29*31,336.0,1.0,290.0,290.0,46.0,46.0
Experiment 3,R1T1,8.0,54.0,16.0,38.0,29*29,370.0,1.0,330.0,324.0,40.0,49.0
Experiment 3,R1T1,9.0,72.0,15.0,57.0,30*30,292.0,1.5,255.0,252.0,37.0,43.0
Experiment 3,R1T1,10.0,65.0,17.0,48.0,30*32,356.0,1.0,315.0,300.0,41.0,44.0
Experiment 3,R1T1,11.0,59.0,17.0,42.0,28*29,241.0,1.0,212.0,208.0,29.0,32.0
Experiment 3,R1T1,12.0,80.0,16.0,64.0,30*29,295.0,1.0,261.0,261.0,34.0,39.0
Experiment 3,R1T1,,71.08333333,16.83333333,54.25,,316.25,1.141666667,277.8333333,274.75,38.41666667,42.16666667
Experiment 3,System,,,,,H.D (cm),,,,,,
Experiment 3,R2T1,1.0,66.0,18.0,48.0,30*29,307.0,1.0,271.0,271.0,36.0,40.0
Experiment 3,R2T1,2.0,80.0,19.0,61.0,32*31,341.0,1.0,304.0,303.0,37.0,41.0
Experiment 3,R2T1,3.0,77.0,18.0,59.0,33*32,375.0,1.0,323.0,330.0,52.0,45.0
Experiment 3,R2T1,4.0,72.0,18.0,54.0,35*32,406.0,1.0,362.0,359.0,44.0,47.0
Experiment 3,R2T1,5.0,75.0,20.0,55.0,29*30,354.0,1.0,310.0,305.0,44.0,44.0
Experiment 3,R2T1,6.0,73.0,16.0,57.0,31*29,344.0,1.0,304.0,304.0,40.0,48.0
Experiment 3,R2T1,7.0,71.0,18.0,53.0,29*31,351.0,1.0,314.0,313.0,37.0,45.0
Experiment 3,R2T1,8.0,60.0,21.0,39.0,33*35,378.0,1.0,335.0,330.0,43.0,44.0
Experiment 3,R2T1,9.0,78.0,21.0,57.0,29*32,371.0,1.0,333.0,330.0,38.0,49.0
Experiment 3,R2T1,10.0,77.0,23.0,54.0,33*30,397.0,1.0,352.0,351.0,45.0,44.0
Experiment 3,R2T1,11.0,75.0,21.0,54.0,34*34,388.0,1.0,342.0,342.0,46.0,46.0
Experiment 3,R2T1,12.0,63.0,19.0,44.0,30*29,312.0,1.5,274.0,274.0,38.0,41.0
Experiment 3,R2T1,,72.25,19.33333333,52.91666667,,360.3333333,1.041666667,318.6666667,317.6666667,41.66666667,44.5
Experiment 3,R3T1,1.0,66.0,18.0,48.0,29*31,279.0,1.2,251.0,249.0,28.0,40.0
