experiment,replicate,date,tme,ph,ec,tds,water_temp,date_1,tme_1,rh%,air_temp,co2
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,17:00:00,51.62,24.81,415.25
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,18:00:00,53.18,23.45,415.76
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,19:00:00,54.38,24.87,424.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,20:00:00,55.19,25.29,432.47
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,21:00:00,57.2,25.28,435.42
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,22:00:00,57.14,26.22,442.3
Experiment 3,Replicate 1 T1,,,,,,,2024-05-19,23:00:00,58.13,25.43,446.62
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,00:00:00,59.27,24.76,450.36
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,01:00:00,59.87,24.4,450.98
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,02:00:00,60.43,24.18,456.18
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,03:00:00,60.61,24.1,452.22
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,04:00:00,61.09,23.72,446.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,05:00:00,61.7,23.21,451.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,06:00:00,62.32,23.59,464.61
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,07:00:00,60.77,26.07,478.48
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,08:00:00,58.94,24.3,455.41
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,09:00:00,57.44,25.44,452.32
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,10:00:00,54.63,27.62,447.41
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,11:00:00,52.91,27.75,439.5
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,12:00:00,51.48,29.2,436.33
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,13:00:00,49.64,29.4,433.93
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,14:00:00,49.59,29.56,426.7
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,15:00:00,50.01,28.27,415.42
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,16:00:00,51.46,27.01,408.65
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,17:00:00,53.37,26.03,409.06
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,18:00:00,55.69,24.82,419.31
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,19:00:00,56.7,24.87,424.11
