Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 2'],"Experiment identifier (Experiment 1, 2, or 3)"
0,str,1,14.29,6,"['Timestamp', '2024-05-15 16:28:34.895000', '2024-05-15 16:30:37.820000', '2024-05-15 16:33:12.614000', '2024-05-15 16:33:33.060000']",
1,float64,2,28.57,5,"[22.0, 26.0, 31.0, 28.0, 30.0]",
2,str,1,14.29,3,"['Gender', 'Male', 'Female']",
3,str,1,14.29,3,"['Smell (الرائحة)', 'Fresh', 'Normal']",
4,float64,3,42.86,3,"[9.0, 6.0, 7.0]",
5,float64,2,28.57,3,"[8.0, 6.0, 9.0]",
6,float64,2,28.57,4,"[9.0, 8.0, 7.0, 5.0]",
7,float64,3,42.86,2,"[4.0, 3.0]",
8,str,1,14.29,5,"['Bitter (المرارة)', '5 (Extremely Bitter )', '2', '1 (Not at all bitter)', '3']",
9,float64,2,28.57,3,"[5.0, 4.0, 3.0]",
10,float64,2,28.57,3,"[9.0, 8.0, 5.0]",
11,float64,3,42.86,3,"[9.0, 8.0, 6.0]",
12,str,1,14.29,4,"['Overall evaluation (The best)', '10 (like extremely )', '8', '6']",
13,str,6,85.71,1,['Comments'],
14,str,0,0.0,4,"['R2', 'Smell (الرائحة)', 'Fresh', 'Normal']",
15,float64,3,42.86,3,"[9.0, 7.0, 8.0]",
16,float64,2,28.57,3,"[9.0, 7.0, 8.0]",
17,float64,2,28.57,2,"[9.0, 7.0]",
18,str,1,14.29,4,"['Sweetness (الحلاوة )', '5 (Extremely sweet  )', '3', '4']",
19,str,1,14.29,4,"['Bitter (المرارة)', '5 (Extremely Bitter )', '1 (Not at all bitter)', '2']",
20,float64,2,28.57,2,"[5.0, 4.0]",
21,str,1,14.29,4,"['After taste (المذاق الأخير)', '10 (like extremely )', '7', '8']",
22,str,1,14.29,5,"['Acceptance', '10 (like extremely )', '7', '8', '9']",
23,float64,3,42.86,3,"[9.0, 7.0, 8.0]",
24,str,6,85.71,1,['Comments'],
