Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['Experiment 3'],"Experiment identifier (Experiment 1, 2, or 3)"
date,datetime64[us],20,60.61,13,"[Timestamp('2024-05-19 00:00:00'), Timestamp('2024-05-20 00:00:00'), Timestamp('2024-05-21 00:00:00'), Timestamp('2024-05-22 00:00:00'), Timestamp('2024-05-23 00:00:00')]",Date of measurement
100000_replicate_1_t1_ph,float64,6,18.18,18,"[6.9, 7.0, 7.2, 7.1, 6.6]",
100000_replicate_1_t1_ec,float64,5,15.15,28,"[2.17, 2.6, 1.74, 1.94, 1.98]",
100000_replicate_1_t1_tds,float64,5,15.15,28,"[1.085, 1.3, 0.87, 0.97, 0.99]",
100000_replicate_1_t1_water_temp,float64,5,15.15,21,"[21.4, 21.7, 22.3, 19.6, 20.8]",
100000_replicate_2_t1_ph,float64,6,18.18,15,"[7.2, 6.9, 6.6, 6.7, 6.4]",
100000_replicate_2_t1_ec,float64,5,15.15,25,"[2.62, 2.63, 2.32, 2.52, 1.56]",
100000_replicate_2_t1_tds,float64,5,15.15,25,"[1.31, 1.315, 1.16, 1.26, 0.78]",
100000_replicate_2_t1_water_temp,float64,5,15.15,20,"[21.3, 21.7, 22.2, 20.8, 23.9]",
100000_replicate_3_t1_ph,float64,6,18.18,15,"[7.6, 7.1, 7.2, 7.4, 7.0]",
100000_replicate_3_t1_ec,float64,5,15.15,21,"[2.6, 2.55, 1.75, 1.98, 1.57]",
100000_replicate_3_t1_tds,float64,5,15.15,21,"[1.3, 1.275, 0.875, 0.99, 0.785]",
100000_replicate_3_t1_water_temp,float64,5,15.15,22,"[21.3, 21.5, 22.5, 20.9, 20.4]",
100000_replicate_1_t2_ph,float64,5,15.15,11,"[7.6, 7.5, 7.7, 7.4, 7.3]",
100000_replicate_1_t2_ec,float64,5,15.15,25,"[2.4, 2.8, 1.73, 1.91, 1.97]",
100000_replicate_1_t2_tds,float64,5,15.15,25,"[1.2, 1.4, 0.865, 0.955, 0.985]",
100000_replicate_1_t2_water_temp,float64,6,18.18,20,"[21.3, 22.1, 20.8, 20.4, 20.6]",
100000_replicate_2_t2_ph,float64,7,21.21,11,"[7.8, 7.7, 7.6, 7.5, 7.4]",
100000_replicate_2_t2_ec,float64,6,18.18,26,"[2.8, 2.5, 1.76, 2.3, 2.02]",
100000_replicate_2_t2_tds,float64,6,18.18,26,"[1.4, 1.25, 0.88, 1.15, 1.01]",
100000_replicate_2_t2_water_temp,float64,6,18.18,20,"[21.3, 21.2, 22.5, 26.9, 20.5]",
100000_replicate_3_t2_ph,float64,7,21.21,12,"[7.7, 7.6, 7.8, 7.5, 8.0]",
100000_replicate_3_t2_ec,float64,6,18.18,22,"[2.7, 2.8, 1.75, 2.0, 2.66]",
100000_replicate_3_t2_tds,float64,6,18.18,22,"[1.35, 1.4, 0.875, 1.0, 1.33]",
100000_replicate_3_t2_water_temp,float64,8,24.24,20,"[21.7, 22.0, 22.8, 21.3, 20.8]",
100000_air_air_parameters,float64,11,33.33,21,"[1944.0, 1664.0, 33970.0, 20880.0, 13460.0]",
100000_air_temp_col_26,float64,11,33.33,17,"[22.5, 25.0, 27.4, 26.5, 25.9]",
100000_rh%_col_27,float64,11,33.33,21,"[74.6, 73.9, 56.9, 72.8, 72.9]",
100000_rh%_col_28,float64,33,100.0,0,[],
140000_replicate_1_t1_ph,float64,6,18.18,15,"[6.8, 7.0, 6.7, 6.6, 6.3]",
140000_replicate_1_t1_ec,float64,6,18.18,22,"[2.6, 1.97, 1.96, 2.54, 1.56]",
140000_replicate_1_t1_tds,float64,6,18.18,22,"[1.3, 0.985, 0.98, 1.27, 0.78]",
140000_replicate_1_t1_water_temp,float64,6,18.18,24,"[22.5, 23.9, 22.3, 20.5, 22.4]",
140000_replicate_2_t1_ph,float64,6,18.18,16,"[7.1, 7.0, 6.8, 6.7, 6.4]",
140000_replicate_2_t1_ec,float64,6,18.18,26,"[2.62, 2.54, 2.49, 2.02, 2.03]",
140000_replicate_2_t1_tds,float64,6,18.18,26,"[1.31, 1.27, 1.245, 1.01, 1.015]",
140000_replicate_2_t1_water_temp,float64,6,18.18,21,"[22.8, 23.9, 22.3, 22.5, 22.6]",
140000_replicate_3_t1_ph,float64,6,18.18,15,"[7.5, 7.3, 7.2, 7.0, 6.7]",
140000_replicate_3_t1_ec,float64,6,18.18,24,"[2.13, 2.0, 1.99, 1.65, 1.55]",
140000_replicate_3_t1_tds,float64,6,18.18,24,"[1.065, 1.0, 0.995, 0.825, 0.775]",
140000_replicate_3_t1_water_temp,float64,7,21.21,22,"[22.3, 23.8, 22.4, 22.2, 21.7]",
140000_replicate_1_t2_ph,float64,7,21.21,9,"[7.4, 7.6, 7.5, 7.3, 7.2]",
140000_replicate_1_t2_ec,float64,7,21.21,22,"[2.8, 1.79, 1.06, 1.55, 1.96]",
140000_replicate_1_t2_tds,float64,7,21.21,22,"[1.4, 0.895, 0.53, 0.775, 0.98]",
140000_replicate_1_t2_water_temp,float64,7,21.21,20,"[23.2, 24.0, 22.4, 22.2, 21.7]",
140000_replicate_2_t2_ph,float64,7,21.21,8,"[7.6, 7.7, 7.5, 7.4, 7.3]",
140000_replicate_2_t2_ec,float64,7,21.21,22,"[2.5, 2.2, 2.03, 1.6, 1.95]",
140000_replicate_2_t2_tds,float64,7,21.21,22,"[1.25, 1.1, 1.015, 0.8, 0.975]",
140000_replicate_2_t2_water_temp,float64,7,21.21,20,"[23.2, 24.1, 26.9, 22.4, 21.8]",
140000_replicate_3_t2_ph,float64,7,21.21,11,"[7.5, 7.6, 7.7, 7.4, 7.3]",
140000_replicate_3_t2_ec,float64,7,21.21,23,"[2.7, 2.73, 1.99, 1.58, 1.57]",
140000_replicate_3_t2_tds,float64,7,21.21,23,"[1.35, 1.365, 0.995, 0.79, 0.785]",
140000_replicate_3_t2_water_temp,float64,7,21.21,16,"[23.7, 24.5, 23.6, 22.9, 22.5]",
140000_air_air_parameters,float64,11,33.33,20,"[20190.0, 33360.0, 33800.0, 31580.0, 27130.0]",
140000_air_temp_col_54,float64,11,33.33,19,"[25.3, 24.9, 26.5, 30.2, 26.9]",
140000_rh%_col_55,float64,11,33.33,21,"[67.9, 70.3, 57.5, 61.9, 65.5]",
