Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['EXP.2. Environmental Conditions and Plant Measurements'],"Experiment identifier (Experiment 1, 2, or 3)"
unnamed:_0,str,0,0.0,6,"['Timestamp', '2024-05-15 16:28:34.895000', '2024-05-15 16:30:37.820000', '2024-05-15 16:33:12.614000', '2024-05-15 16:33:33.060000']",
r1,float64,1,16.67,5,"[22.0, 26.0, 31.0, 28.0, 30.0]",
unnamed:_2,str,0,0.0,3,"['Gender', 'Male', 'Female']",
unnamed:_3,str,0,0.0,3,"['Smell (الرائحة)', 'Fresh', 'Normal']",
unnamed:_4,float64,2,33.33,3,"[9.0, 6.0, 7.0]",
unnamed:_5,float64,1,16.67,3,"[8.0, 6.0, 9.0]",
unnamed:_6,float64,1,16.67,4,"[9.0, 8.0, 7.0, 5.0]",
unnamed:_7,float64,2,33.33,2,"[4.0, 3.0]",
unnamed:_8,str,0,0.0,5,"['Bitter (المرارة)', '5 (Extremely Bitter )', '2', '1 (Not at all bitter)', '3']",
unnamed:_9,float64,1,16.67,3,"[5.0, 4.0, 3.0]",
unnamed:_10,float64,1,16.67,3,"[9.0, 8.0, 5.0]",
unnamed:_11,float64,2,33.33,3,"[9.0, 8.0, 6.0]",
unnamed:_12,str,0,0.0,4,"['Overall evaluation (The best)', '10 (like extremely )', '8', '6']",
unnamed:_13,str,5,83.33,1,['Comments'],
r2,str,0,0.0,3,"['Smell (الرائحة)', 'Fresh', 'Normal']",
unnamed:_15,float64,2,33.33,3,"[9.0, 7.0, 8.0]",
unnamed:_16,float64,1,16.67,3,"[9.0, 7.0, 8.0]",
unnamed:_17,float64,1,16.67,2,"[9.0, 7.0]",
unnamed:_18,str,0,0.0,4,"['Sweetness (الحلاوة )', '5 (Extremely sweet  )', '3', '4']",
unnamed:_19,str,0,0.0,4,"['Bitter (المرارة)', '5 (Extremely Bitter )', '1 (Not at all bitter)', '2']",
unnamed:_20,float64,1,16.67,2,"[5.0, 4.0]",
unnamed:_21,str,0,0.0,4,"['After taste (المذاق الأخير)', '10 (like extremely )', '7', '8']",
unnamed:_22,str,0,0.0,5,"['Acceptance', '10 (like extremely )', '7', '8', '9']",
unnamed:_23,float64,2,33.33,3,"[9.0, 7.0, 8.0]",
unnamed:_24,str,5,83.33,1,['Comments'],
