Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['EXP.3. Environmental Conditions and Plant Measurements'],"Experiment identifier (Experiment 1, 2, or 3)"
unknown_unknown_19/5/2024,str,1,3.12,31,"['20/5/2024', '21/5/2024', '22/5/2024', '23/5/2024', '24\\05\\2024']",
replicate_1_t1_ph_-,float64,5,15.62,18,"[6.9, 7.0, 7.2, 7.1, 6.6]",
replicate_1_t1_ec_-,float64,4,12.5,28,"[2.17, 2.6, 1.74, 1.94, 1.98]",
replicate_1_t1_tds_-,float64,4,12.5,28,"[1.085, 1.3, 0.87, 0.97, 0.99]",
replicate_1_t1_water_temp_-,float64,4,12.5,21,"[21.4, 21.7, 22.3, 19.6, 20.8]",
replicate_2_t1_ph_-,float64,5,15.62,15,"[7.2, 6.9, 6.6, 6.7, 6.4]",
replicate_2_t1_ec_-,float64,4,12.5,25,"[2.62, 2.63, 2.32, 2.52, 1.56]",
replicate_2_t1_tds_-,float64,4,12.5,25,"[1.31, 1.315, 1.16, 1.26, 0.78]",
replicate_2_t1_water_temp_-,float64,4,12.5,20,"[21.3, 21.7, 22.2, 20.8, 23.9]",
replicate_3_t1_ph_-,float64,5,15.62,15,"[7.6, 7.1, 7.2, 7.4, 7.0]",
replicate_3_t1_ec_-,float64,4,12.5,21,"[2.6, 2.55, 1.75, 1.98, 1.57]",
replicate_3_t1_tds_-,float64,4,12.5,21,"[1.3, 1.275, 0.875, 0.99, 0.785]",
replicate_3_t1_water_temp_-,float64,4,12.5,22,"[21.3, 21.5, 22.5, 20.9, 20.4]",
replicate_1_t2_ph_-,float64,4,12.5,11,"[7.6, 7.5, 7.7, 7.4, 7.3]",
replicate_1_t2_ec_-,float64,4,12.5,25,"[2.4, 2.8, 1.73, 1.91, 1.97]",
replicate_1_t2_tds_-,float64,4,12.5,25,"[1.2, 1.4, 0.865, 0.955, 0.985]",
replicate_1_t2_water_temp_-,float64,5,15.62,20,"[21.3, 22.1, 20.8, 20.4, 20.6]",
replicate_2_t2_ph_-,float64,6,18.75,11,"[7.8, 7.7, 7.6, 7.5, 7.4]",
replicate_2_t2_ec_-,float64,5,15.62,26,"[2.8, 2.5, 1.76, 2.3, 2.02]",
replicate_2_t2_tds_-,float64,5,15.62,26,"[1.4, 1.25, 0.88, 1.15, 1.01]",
replicate_2_t2_water_temp_-,float64,5,15.62,20,"[21.3, 21.2, 22.5, 26.9, 20.5]",
replicate_3_t2_ph_-,float64,6,18.75,12,"[7.7, 7.6, 7.8, 7.5, 8.0]",
replicate_3_t2_ec_-,float64,5,15.62,22,"[2.7, 2.8, 1.75, 2.0, 2.66]",
replicate_3_t2_tds_-,float64,5,15.62,22,"[1.35, 1.4, 0.875, 1.0, 1.33]",
replicate_3_t2_water_temp_-,float64,7,21.88,20,"[21.7, 22.0, 22.8, 21.3, 20.8]",
lux_water_temp_-,float64,10,31.25,21,"[1944.0, 1664.0, 33970.0, 20880.0, 13460.0]",
lux_air_-,float64,10,31.25,17,"[22.5, 25.0, 27.4, 26.5, 25.9]",
rh%_air_-,float64,10,31.25,21,"[74.6, 73.9, 56.9, 72.8, 72.9]",
rh%_air_col_28,float64,32,100.0,0,[],
replicate_1_t1_ph_-_1,float64,5,15.62,15,"[6.8, 7.0, 6.7, 6.6, 6.3]",
replicate_1_t1_ec_-_1,float64,5,15.62,22,"[2.6, 1.97, 1.96, 2.54, 1.56]",
replicate_1_t1_tds_-_1,float64,5,15.62,22,"[1.3, 0.985, 0.98, 1.27, 0.78]",
replicate_1_t1_water_temp_-_1,float64,5,15.62,24,"[22.5, 23.9, 22.3, 20.5, 22.4]",
replicate_2_t1_ph_-_1,float64,5,15.62,16,"[7.1, 7.0, 6.8, 6.7, 6.4]",
replicate_2_t1_ec_-_1,float64,5,15.62,26,"[2.62, 2.54, 2.49, 2.02, 2.03]",
replicate_2_t1_tds_-_1,float64,5,15.62,26,"[1.31, 1.27, 1.245, 1.01, 1.015]",
replicate_2_t1_water_temp_-_1,float64,5,15.62,21,"[22.8, 23.9, 22.3, 22.5, 22.6]",
replicate_3_t1_ph_-_1,float64,5,15.62,15,"[7.5, 7.3, 7.2, 7.0, 6.7]",
replicate_3_t1_ec_-_1,float64,5,15.62,24,"[2.13, 2.0, 1.99, 1.65, 1.55]",
replicate_3_t1_tds_-_1,float64,5,15.62,24,"[1.065, 1.0, 0.995, 0.825, 0.775]",
replicate_3_t1_water_temp_-_1,float64,6,18.75,22,"[22.3, 23.8, 22.4, 22.2, 21.7]",
replicate_1_t2_ph_-_1,float64,6,18.75,9,"[7.4, 7.6, 7.5, 7.3, 7.2]",
replicate_1_t2_ec_-_1,float64,6,18.75,22,"[2.8, 1.79, 1.06, 1.55, 1.96]",
replicate_1_t2_tds_-_1,float64,6,18.75,22,"[1.4, 0.895, 0.53, 0.775, 0.98]",
replicate_1_t2_water_temp_-_1,float64,6,18.75,20,"[23.2, 24.0, 22.4, 22.2, 21.7]",
replicate_2_t2_ph_-_1,float64,6,18.75,8,"[7.6, 7.7, 7.5, 7.4, 7.3]",
replicate_2_t2_ec_-_1,float64,6,18.75,22,"[2.5, 2.2, 2.03, 1.6, 1.95]",
replicate_2_t2_tds_-_1,float64,6,18.75,22,"[1.25, 1.1, 1.015, 0.8, 0.975]",
replicate_2_t2_water_temp_-_1,float64,6,18.75,20,"[23.2, 24.1, 26.9, 22.4, 21.8]",
replicate_3_t2_ph_-_1,float64,6,18.75,11,"[7.5, 7.6, 7.7, 7.4, 7.3]",
replicate_3_t2_ec_-_1,float64,6,18.75,23,"[2.7, 2.73, 1.99, 1.58, 1.57]",
replicate_3_t2_tds_-_1,float64,6,18.75,23,"[1.35, 1.365, 0.995, 0.79, 0.785]",
replicate_3_t2_water_temp_-_1,float64,6,18.75,16,"[23.7, 24.5, 23.6, 22.9, 22.5]",
lux_water_temp_-_1,float64,10,31.25,20,"[20190.0, 33360.0, 33800.0, 31580.0, 27130.0]",
lux_air_-_1,float64,10,31.25,19,"[25.3, 24.9, 26.5, 30.2, 26.9]",
rh%_air_-_1,float64,10,31.25,21,"[67.9, 70.3, 57.5, 61.9, 65.5]",
