Column Name,Data Type,Missing Count,Missing Percentage,Unique Values,Sample Values,Description
experiment,str,0,0.0,1,['EXP.3. Environmental Conditions and Plant Measurements'],"Experiment identifier (Experiment 1, 2, or 3)"
1,int64,0,0.0,9,"[2, 3, 4, 5, 6]",
165,float64,0,0.0,6,"[15.0, 16.0, 12.5, 13.5, 14.5]",
8,float64,0,0.0,4,"[7.0, 8.0, 6.0, 5.5]",
85,float64,0,0.0,5,"[8.0, 6.5, 7.5, 9.0, 10.0]",
9*5,str,0,0.0,9,"['8*5', '10*9', '6.5*6', '6.5*6.5', '6.5*5.5']",
03,float64,0,0.0,2,"[0.3, 0.4]",
6,int64,0,0.0,3,"[5, 6, 4]",
4,int64,0,0.0,3,"[3, 4, 2]",
2,int64,0,0.0,3,"[2, 3, 1]",
12,int64,0,0.0,4,"[12, 10, 11, 13]",
